,NAME,WEBSITE,INDUSTRY,PHONE
144,DAMCO LOGISTICS MALAYSIA SDN BHD,https://www.damco.com,Transport,075071851
145,DANISCO MALAYSIA SDN BHD,www.danisco.com,Food/Beverages,043995888
146,DANONE DUMEX (MALAYSIA) SDN BHD,www.dumex.com.my,Food/Beverages,0322981688
147,DB TRAINING SOLUTIONS PLT,,Others(Unspecified),
148,DELEUM SERVICES SDN BHD,www.deleum.com,Oil/Gas/Petrochemicals,0322957788
149,DELOITTE TAX SERVICES SDN BHD,www.deloitte.com/my,Accountancy/Financial,052531358
150,DELOITTE TAX SERVICES SDN BHD – JOHOR,www.deloitte.com/my,Accountancy/Financial,072225988
151,DELOITTE TOUCHE TOHMATSU TAX SERVICES SDN BHD,www.deloitte.com/my,Accountancy/Financial,0376108888
152,DENMARK,www.ambkualalumpur.um.dk,Embassy,0320322001
153,DESARU SOUTH COURSE SDN BHD,www.elsclubmalaysia.com,Hotels/Tourism,
154,DEUTSCHE BANK (MALAYSIA) BERHAD,https://www.db.com/malaysia/,Banking/Insurance,0320536788
155,DHL EXPRESS (M) SDN BHD – KOTA KINABALU,www.dhl.com,Port/Logistics,088733000
156,DIAMOND KEY INTERNATIONAL (MALAYSIA) SDN BHD,www.diamondkey.com,Oil/Gas/Petrochemicals,03795100000377270755
157,DISTED PULAU PINANG SDN BHD,disted.edu.my,Education/Training,042296579
158,DKSH HOLDINGS (MALAYSIA) BERHAD,www.dksh.com,Pharmaceutical/Medical,0378828888
159,DONGWHA MALAYSIA SDN BHD -Kedah,www.dongwha.com.my,Rubber/WoodProducts,044022110
160,DR OETKER NONA MALAYSIA SDN BHD,www.oetker.com.my,Food/Beverages,045017504
161,DUTCH LADY MILK INDUSTRIES BERHAD,www.dutchlady.com.my,Food/Beverages,0379532600
162,DXN INDUSTRIES (M) SDN BHD,www.dxn2u.com,Food/Beverages,047723388
163,DYNAC SDN BHD – JOHOR,www.dynac.com.my,Construction/Engineering,072599888
164,DYSON MANUFACTURING SDN BHD,www.dyson.com,Machinery/Equipment,075999333
165,EA MARINE SERVICES SDN BHD,http://www.eamarine.com.my,Trading(Import/Export),075321266
166,EASTERN & ORIENTAL HOTEL SDN BHD,www.eohotels.com,Hotels/Tourism,042222000
167,EASTWOOD TECHNOLOGIES PTE. LTD,,Education/Training,0267018256
168,EATON INDUSTRIES SDN BHD,http://www.eaton.com,Electrical/Electronics,043897566
169,ECON MEDICARE CENTRE AND NURSING HOME SDN BHD,www.econhealthcare.com,Pharmaceutical/Medical,072344680
170,ECUADOR,http://malasia.embajada.gob.ec/,Embassy,0321635078
171,EEW MALAYSIA SDN BHD,www.eew-group.com,Oil/Gas/Petrochemicals,072599333
172,ELEKTRISOLA (MALAYSIA) SDN BHD,www.elektrisola.com,Electrical/Electronics,092210888
173,EMINENT TRANSFORM SDN BHD,,Electrical/Electronics,063125419
174,ENQUEST PETROLEUM PRODUCTION MALAYSIA LTD,www.enquest.com,Oil/Gas/Petrochemicals,0327836031
175,ENVICO TRAVEL RETAIL SDN BHD,www.valiram.com,Retail/Wholesale,0323809888
176,ENVICTUS DAIRIES MARKETING SDN BHD,,Food/Beverages,0379563888
177,ENVIRO-LIFT SERVICES SDN BHD,www.envirolift.com.my,Consultancy/BusinessSvcs,0378463682
178,ENZA ZADEN ASIA SDN BHD,http://www.enzazaden.com,Agriculture/Plantations,045060040
179,EQUINE NUTRITION AUSTRALASIA SDN BHD,https://www.equine-nutrition.com.my,Trading(Import/Export),053574080
180,ERNST & YOUNG – IPOH,www.ey.com/my,Accountancy/Financial,052556393
181,ERNST & YOUNG – JOHOR,www.ey.com/my,Accountancy/Financial,073341740
182,ERNST & YOUNG – KOTA KINABALU,www.ey.com/my,Accountancy/Financial,088235733
183,ERNST & YOUNG – KUANTAN,www.ey.com/my,Accountancy/Financial,095157500
184,ERNST & YOUNG – PENANG,www.ey.com/my,Accountancy/Financial,042641878
185,ESCATEC ELECTRONICS SDN BHD,www.escatec.com,Electrical/Electronics,046432554
186,EURO-CIRCUIT TECHNOLOGY SDN BHD,www.eurocircuit.com.my,Chemicals/Minerals,073822946
187,EUROPEAN UNION,https://eeas.europa.eu/delegations/malaysia_en,Embassy,0327337373
188,EVERGREEN FIBREBOARD (JB) SDN BHD,www.evergreengroup.com.my,Rubber/WoodProducts,074541933
189,EVERGREEN FIBREBOARD BERHAD,www.evergreengroup.com.my,Rubber/WoodProducts,074541933
190,EVERGREEN MARINE CORPORATION (MALAYSIA) SDN BHD – JOHOR,www.evergreen-line.com,Transport,072231559
191,EXNI RAILWAY (MALAYSIA) SDN BHD,www.exnirail.com,Machinery/Equipment,0362509230
192,EXNI RAILWAY (MALAYSIA) SDN BHD,,Machinery/Equipment,
193,EXPORT-IMPORT BANK OF MALAYSIA BERHAD (EXIM),www.exim.com.my,Banking/Insurance,0326012000
194,EXXONMOBIL EXPLORATION AND PRODUCTION MALAYSIA INC,www.exxonmobil.com.my,Oil/Gas/Petrochemicals,0323803000
195,FANLOGIK ENGINEERING SERVICES SDN BHD,www.fanlogik.co,Construction/Engineering,0333581111
196,FAR EAST MULTIWAY SDN BHD,,Trading(Import/Export),
197,FARASAN INTERNATIONAL SDN BHD,www.farasan-intl.com,Consultancy/BusinessSvcs,0322987340
198,FARM FRESH MILK SDN BHD,www.farmfresh.com.my,Food/Beverages,072323463
199,FATTY CHEMICAL (MALAYSIA) SDN BHD,,Chemicals/Minerals,043998500
200,FEDERAL EXPRESS SERVICES (M) SDN BHD,www.fedex.com,Port/Logistics,0377206000
201,FEED HEALTH SDN BHD,,Trading(Import/Export),0356351633
202,FELDA IFFCO SDN BHD,www.feldaiffco.com,Food/Beverages,0331687788
203,FERRUCCI SDN BHD,www.ferrucciworldwide.com,Trading(Import/Export),0377331373
204,FIJI ISLANDS,,Embassy,0327323335
205,FINISAR MALAYSIA SDN BHD,www.finisar.com,Electrical/Electronics,052907800
206,FINLAND,www.finland.org.my,Embassy,0342577746
207,FIRST MARINE SERVICES (M) SDN BHD,www.fms.com.my,Oil/Gas/Petrochemicals,095736333
208,FIRST SOLAR MALAYSIA SDN BHD,www.firstsolar.com,Energy/Utilities,044016776
209,FLAGSHIP BUILDERS SDN BHD,www.jolandgroup.com.my,Property/RealEstate,072781111
210,FLEXIBLE DUCTING (M) SDN BHD,www.flexibleducting.co.uk,Non-MetallicManufactures,073339555
211,FMC WELLHEAD EQUIPMENT SDN BHD,,Oil/Gas/Petrochemicals,072671000072672200
212,FOCAL CONCEPTS SDN BHD,www.focal-concepts.com,Media/Advertising,042103898
213,FOO NYIT TSE & BROTHERS SDN BHD,,Agriculture/Plantations,052553228
214,FPG OLEOCHEMICALS SDN BHD,www.fpg.com.my,Chemicals/Minerals,095852233
215,FRANCE,www.ambafrance-my.org,Embassy,0320535600
216,FREESCALE SEMICONDUCTOR MALAYSIA SDN BHD,www.freescale.com,Metal Manufactures,0376692000
217,FRESENIUS KABI MALAYSIA SDN BHD,www.fresenius-kabi.com,Pharmaceutical/Medical,0379572929
218,FUJIFILM (MALAYSIA) SDN BHD,www.fujifilm.com.my,Consultancy/BusinessSvcs,0355698388
219,FUMAKILLA MALAYSIA BERHAD,,Non-MetallicManufactures,
220,G HOTEL SDN BHD,www.ghotel.com.my,Hotels/Tourism,042380000
221,G.I. INDUSTRIAL ASIA HOLDING SDN BHD,,Machinery/Equipment,0333926088
222,GABUNGAN SERIMAJU SDN BHD,,Electrical/Electronics,0135520333
223,GAMALUX OILS SDN BHD,www.gamaluxoils.com.my,Oil/Gas/Petrochemicals,0333248011
224,GAMLITE IT (M) SDN BHD,www.gamlite.com,ICT/Communications,088382290
225,GATEWAY INDUSTRIAL CORPORATION SDN BHD,www.gicmy.com,Metal Manufactures,052815739
226,GEMILANG GROUP LTD,www.gemilanggroup.com,Trading(Import/Export),087421644902125316068
227,GEMS EDUCATION M1 SDN BHD,https://pearlcity.gems.edu.my,Education/Training,045097000
228,GENTING BERHAD,http://www.genting.com,Consultancy/BusinessSvcs,0321612288
229,GERARD & ASSOCIATES SDN BHD,www.gerardassociates.com.my,Consultancy/BusinessSvcs,072229919
230,GERMAN-MALAYSIAN INSTITUTE (GMI),http://www.gmi.edu.my,Education/Training,0389219000
231,GERMANY,www.kuala-lumpur.diplo.de,Embassy,0321709666
232,GIGA SPORTS SDN BHD,www.starthreesixty.com,Retail/Wholesale,03802360180380818677
233,GIGABIT HOSTING SDN BHD,,ICT/Communications,0379729149
234,GIMAMED MEDICAL EQUIPMENT CO LTD,,Pharmaceutical/Medical,
235,GITI TIRE (MALAYSIA) SDN BHD,,Rubber/WoodProducts,067610091
236,GLAXOSMITHKLINE MALAYSIA,www.gsk.com.my,Pharmaceutical/Medical,0374952600
237,GLAXOSMITHKLINE PHARMACEUTICAL SDN BHD,www.gsk.com.my,Pharmaceutical/Medical,0374952602
238,GLOHARTA (M) SDN BHD (LE MERIDIEN KOTA KINABALU),www.lemeridien.com/kotakinabalu,Hotels/Tourism,088322222088322210
239,GMC INDUSTRIES SDN BHD,www.gmcindustries.com.my,Metal Manufactures,0351618962
240,GOODYEAR MALAYSIA BERHAD,www.goodyear.com.my,Rubber/WoodProducts,0355203200
241,GRAND BANKS YACHTS SDN BHD,www.grandbanks.com,Non-MetallicManufactures,072517488
242,GRAND MILLENNIUM KUALA LUMPUR,www.grandmillennium.com,Hotels/Tourism,0321174888
243,GRANITE LANJAN SDN BHD,,Construction/Engineering,0392269331
244,GREAT EASTERN LIFE ASSURANCE (MALAYSIA) BERHAD,www.greateasternlife.com,Banking/Insurance,0342598888
245,GREENPEN FREIGHT SERVICES (M) SDN BHD,,Transport,0123810893
246,GS PAPER & PACKAGING SDN BHD,www.gspp.com.my,Non-MetallicManufactures,0331825000
247,GSL TECH SDN BHD,www.gsltech.com.my,Construction/Engineering,01242339010124238083
248,GUARD ADDITIVES SDN BHD,www.gnnh.com,Trading(Import/Export),0356351633
249,HALLIBURTON MANUFACTURING & TECHNOLOGY (M) SDN BHD,,Oil/Gas/Petrochemicals,075974300
250,HAMPSHIRE FOODS SDN BHD,,Food/Beverages,
251,HANSON QUARRY PRODUCTS SDN BHD,www.hanson.biz,Non-MetallicManufactures,0358858888
252,HARRISON ASSESSMENTS (MALAYSIA) SDN BHD,www.harrisonassessments.com,Consultancy/BusinessSvcs,0362011198
253,HASILWAN (M) SDN BHD,www.hasilwan.com.my,Energy/Utilities,0378038887
254,HCM-HYGENIC CORPORATION (MALAYSIA) SDN BHD,http://www.hygenic.com/,Pharmaceutical/Medical,053669188
255,HEINEKEN MALAYSIA BERHAD,www.heinekenmalaysia.com,Food/Beverages,0378614688
256,HENKEL (MALAYSIA) SDN BHD,www.henkel.com,Electrical/Electronics,055476811
257,HENRY BUTCHER MALAYSIA (PENANG) SDN BHD,www.henrybutcherpenang.com,Property/RealEstate,042298999
258,HERITAGE LANE SDN BHD,www.impiana.com.my,Hotels/Tourism,0321471111
259,HERNANCRES TAX CONSULTANCY SDN BHD,www.hernancres.com,Accountancy/Financial,0362429442
260,HESS EXPLORATION AND PRODUCTION MALAYSIA B.V.,www.hess.com,Oil/Gas/Petrochemicals,0327887000
261,HEXZA CORPORATION BERHAD,http://www.hexza.com.my/history.htm,Property/RealEstate,052917823
262,HOLIDAY TOURS & TRAVEL SDN BHD,www.holidaytours.com.my,Hotels/Tourism,042382638
263,HOLISTISCH GROUP,www.holistischgroup.com,Consultancy/BusinessSvcs,0389483350
264,HONEY EMPIRE SDN BHD,www.honey-empire.com,Food/Beverages,
265,HONG LEONG BANK BERHAD,www.hlb.com.my,Banking/Insurance,0320818888
266,HOTEL JEN PENANG,hoteljen.com,Hotels/Tourism,042622622
267,HOVID BERHAD,www.hovid.com,Pharmaceutical/Medical,055060690
268,HOZELOCK LTD,www.hozelock.com,Machinery/Equipment,075995144
269,HQ PACK SDN BHD,,Others(Unspecified),076607878
270,HSBC BANK MALAYSIA BERHAD,www.hsbc.com.my,Banking/Insurance,0320753272
271,HSBC BANK MALAYSIA BERHAD – JOHOR,www.hsbc.com.my,Banking/Insurance,072244355
272,HSBC BANK MALAYSIA BERHAD – KOTA KINABALU,www.hsbc.com.my,Banking/Insurance,088518676
273,HSBC BANK MALAYSIA BERHAD – KUANTAN,www.hsbc.com.my,Banking/Insurance,095109280
274,HSBC BANK MALAYSIA BERHAD – KUCHING,www.hsbc.com.my,Banking/Insurance,082204230082232282
275,HSBC BANK MALAYSIA BERHAD – PENANG,www.hsbc.com.my,Banking/Insurance,046503220042595239
276,HSBC BANK MALAYSIA BERHAD – PERAK,www.hsbc.com.my,Banking/Insurance,052554379
277,HYATT REGENCY KINABALU,www.kinabalu.regency.hyatt.com,Hotels/Tourism,088221234
278,I.S.P. SCHOOLS ASSOCIATION,www.uplands.org,Education/Training,048819777
279,IBNU KHALDUN MANUFACTURING SDN BHD,www.tokguru.net,Food/Beverages,0387413830
280,IDEAL CONCEPT INTELLIGENCE SDN BHD,www.idealhomes.cc,Property/RealEstate,0464168880464110969
281,IFFCO (MALAYSIA) SDN BHD,www.iffco.com,Pharmaceutical/Medical,072543188
282,IFM ELECTRONIC PTE LTD,ifm.com/m,Electrical/Electronics,603806698531800884363
283,IMAXTECH ELECTRONICS SDN BHD,www.imax-tech.com,Trading(Import/Export),046456080
284,IMERYS MINERALS MALAYSIA SDN BHD,www.imerys.com,Chemicals/Minerals,0322679200
285,IMPIANA HOTEL IPOH SDN BHD,www.impiana.com,Hotels/Tourism,052555555
286,INDIA,www.indianhighcommission.com.my,Embassy,0320933504
287,INDONESIA,https://www.kbrikualalumpur.org/,Embassy,0321164057
288,INFRA TECH PROJECTS MALAYSIA SDN BHD,infratechgeo.com,Others(Unspecified),0378803999
289,INHESION INDUSTRIAL (M) SDN BHD,www.inhesiongroup.com,Non-MetallicManufactures,0333927045
290,INNOPRISE CORPORATION SDN BHD,www.icsb-sabah.com.my,Consultancy/BusinessSvcs,088326478088431891
291,INNOPRISE PLANTATIONS BHD,www.innoprise.com.my,Agriculture/Plantations,089914877
292,IN-SITU MAINTENANCE SERVICES SDN BHD,www.in-situgroup.com,Oil/Gas/Petrochemicals,0380683220
293,INSPIRE GROUP NEW ZEALAND,www.inspiregroup.co.nz,Education/Training,8444714847
294,INSTITUTE FOR DEMOCRACY AND ECONOMIC AFFAIRS (IDEAS),www.ideas.org.my,Others(Unspecified),0320708881
